state,type_id,c,cr
prerequisites,HealthInsurance,375,2022-08
prerequisites,ParentalLeave,1028,2022-08
prerequisites,PublicDebtPaymentPlan,649,2022-08
rejectedbyparentb,ChildrenResidenceChange,2,2022-08
residenceGrantApplication,ParentalLeave,5,2022-08
residenceGrantApplicationNoBirthDate,ParentalLeave,6,2022-08
review,AccidentNotification,19,2022-08
reviewAddAttachment,AccidentNotification,15,2022-08
submitted,ChildrenResidenceChange,47,2022-08
submitted,FinancialAid,3,2022-08
submitted,FundingGovernmentProjects,1,2022-08
submitted,LoginService,5,2022-08
submitted,PublicDebtPaymentPlan,38,2022-08
vinnumalastofnunApproval,ParentalLeave,303,2022-08
vinnumalastofnunApproveEdits,ParentalLeave,99,2022-08
approved,DrivingAssessmentApproval,378,2022-09
approved,InstitutionCollaboration,13,2022-09
approved,ParentalLeave,3,2022-09
completed,CriminalRecord,1101,2022-09
completed,MortgageCertificate,85,2022-09
completed,NoDebtCertificate,86,2022-09
declined,DrivingLicense,2,2022-09
done,AnnouncementOfDeath,6,2022-09
done,DrivingLicense,340,2022-09
done,PSign,66,2022-09
draft,AccidentNotification,66,2022-09
draft,ChildrenResidenceChange,20,2022-09
draft,CriminalRecord,696,2022-09
draft,DataProtectionAuthorityComplaint,6,2022-09
draft,DocumentProviderOnboarding,7,2022-09
draft,DrivingLicense,37,2022-09
draft,FinancialAid,2,2022-09
draft,GeneralFishingLicense,1,2022-09
draft,HealthInsurance,16,2022-09
draft,InstitutionCollaboration,25,2022-09
draft,LoginService,12,2022-09
draft,MortgageCertificate,2598,2022-09
draft,NoDebtCertificate,675,2022-09
draft,OperatingLicense,1,2022-09
draft,ParentalLeave,77,2022-09
draft,PSign,219,2022-09
draft,PublicDebtPaymentPlan,89,2022-09
editOrAddEmployersAndPeriods,ParentalLeave,113,2022-09
employerApproval,ParentalLeave,1,2022-09
employerApproveEdits,ParentalLeave,2,2022-09
employerWaitingToAssign,ParentalLeave,3,2022-09
employerWaitingToAssignForEdits,ParentalLeave,7,2022-09
inFinalReview,AccidentNotification,2,2022-09
inReview,ChildrenResidenceChange,9,2022-09
inReview,DataProtectionAuthorityComplaint,8,2022-09
inReview,HealthInsurance,129,2022-09
muncipalityNotRegistered,FinancialAid,1,2022-09
payment,CriminalRecord,207,2022-09
payment,DrivingLicense,22,2022-09
payment,GeneralFishingLicense,1,2022-09
payment,MortgageCertificate,20,2022-09
payment_info,MortgageCertificate,75,2022-09
pending_rejected,MortgageCertificate,1,2022-09
pending_rejected_try_again,MortgageCertificate,40,2022-09
prerequisites,AnnouncementOfDeath,4,2022-09
prerequisites,DrivingAssessmentApproval,139,2022-09
prerequisites,DrivingLicense,1171,2022-09
prerequisites,FinancialAid,43,2022-09
prerequisites,GeneralFishingLicense,28,2022-09
prerequisites,HealthInsurance,457,2022-09
prerequisites,ParentalLeave,1113,2022-09
prerequisites,PublicDebtPaymentPlan,996,2022-09
REGISTRY,DrivingInstructorRegistrations,5,2022-09
residenceGrantApplication,ParentalLeave,11,2022-09
residenceGrantApplicationNoBirthDate,ParentalLeave,7,2022-09
review,AccidentNotification,21,2022-09
reviewAddAttachment,AccidentNotification,19,2022-09
submitted,ChildrenResidenceChange,19,2022-09
submitted,FinancialAid,4,2022-09
submitted,LoginService,3,2022-09
submitted,PublicDebtPaymentPlan,50,2022-09
vinnumalastofnunApproval,ParentalLeave,191,2022-09
vinnumalastofnunApproveEdits,ParentalLeave,86,2022-09
approved,DrivingAssessmentApproval,361,2022-10
approved,InstitutionCollaboration,7,2022-10
approved,ParentalLeave,9,2022-10
completed,CriminalRecord,1233,2022-10
completed,MortgageCertificate,125,2022-10
completed,NoDebtCertificate,171,2022-10
CONFIRM,DrivingSchoolConfirmation,13,2022-10
declined,DrivingLicense,2,2022-10
done,AnnouncementOfDeath,4,2022-10
done,DrivingLicense,307,2022-10
done,PSign,94,2022-10
draft,AccidentNotification,104,2022-10
draft,ChildrenResidenceChange,23,2022-10
draft,CriminalRecord,1261,2022-10
draft,DataProtectionAuthorityComplaint,13,2022-10
draft,DocumentProviderOnboarding,5,2022-10
draft,DrivingLicense,22,2022-10
draft,FinancialAid,3,2022-10
draft,FundingGovernmentProjects,1,2022-10
draft,GeneralFishingLicense,1,2022-10
draft,HealthInsurance,23,2022-10
draft,InstitutionCollaboration,118,2022-10
draft,LoginService,25,2022-10
draft,MortgageCertificate,3029,2022-10
draft,NoDebtCertificate,678,2022-10
draft,OperatingLicense,1,2022-10
draft,ParentalLeave,45,2022-10
draft,Passport,1,2022-10
draft,PSign,364,2022-10
draft,PublicDebtPaymentPlan,75,2022-10
editOrAddEmployersAndPeriods,ParentalLeave,103,2022-10
employerApproval,ParentalLeave,1,2022-10
employerApproveEdits,ParentalLeave,4,2022-10
employerWaitingToAssign,ParentalLeave,7,2022-10
employerWaitingToAssignForEdits,ParentalLeave,10,2022-10
inFinalReview,AccidentNotification,7,2022-10
inReview,ChildrenResidenceChange,1,2022-10
inReview,DataProtectionAuthorityComplaint,14,2022-10
inReview,HealthInsurance,92,2022-10
muncipalityNotRegistered,FinancialAid,2,2022-10
payment,CriminalRecord,212,2022-10
payment,DrivingLicense,30,2022-10
payment,MortgageCertificate,13,2022-10
payment_info,MortgageCertificate,74,2022-10
pending_rejected,MortgageCertificate,1,2022-10
pending_rejected_try_again,MortgageCertificate,52,2022-10
prerequisites,AnnouncementOfDeath,10,2022-10
prerequisites,DrivingAssessmentApproval,168,2022-10
prerequisites,DrivingLicense,1303,2022-10
prerequisites,FinancialAid,71,2022-10
prerequisites,GeneralFishingLicense,13,2022-10
prerequisites,HealthInsurance,447,2022-10
prerequisites,ParentalLeave,1149,2022-10
prerequisites,PublicDebtPaymentPlan,1026,2022-10
prerequisitesSpouse,FinancialAid,3,2022-10
REGISTRY,DrivingInstructorRegistrations,19,2022-10
rejectedbyparentb,ChildrenResidenceChange,3,2022-10
residenceGrantApplication,ParentalLeave,15,2022-10
residenceGrantApplicationNoBirthDate,ParentalLeave,4,2022-10
review,AccidentNotification,15,2022-10
reviewAddAttachment,AccidentNotification,19,2022-10
submitted,ChildrenResidenceChange,24,2022-10
submitted,FinancialAid,173,2022-10
submitted,LoginService,4,2022-10
submitted,PublicDebtPaymentPlan,53,2022-10
testPhase,DocumentProviderOnboarding,1,2022-10
vinnumalastofnunApproval,ParentalLeave,186,2022-10
vinnumalastofnunApproveEdits,ParentalLeave,98,2022-10
approved,DrivingAssessmentApproval,316,2022-11
approved,GeneralPetitionService,2,2022-11
approved,InstitutionCollaboration,11,2022-11
approved,ParentalLeave,8,2022-11
completed,CriminalRecord,1099,2022-11
completed,MortgageCertificate,93,2022-11
completed,NoDebtCertificate,229,2022-11
CONFIRM,DrivingSchoolConfirmation,28,2022-11
declined,DrivingLicense,5,2022-11
done,AnnouncementOfDeath,1,2022-11
done,DrivingLicense,364,2022-11
done,PSign,89,2022-11
DONE,DrivingSchoolConfirmation,74,2022-11
draft,AccidentNotification,98,2022-11
draft,AnnouncementOfDeath,2,2022-11
draft,ChildrenResidenceChange,17,2022-11
draft,CriminalRecord,1144,2022-11
draft,DataProtectionAuthorityComplaint,11,2022-11
draft,DrivingLicense,26,2022-11
draft,FinancialAid,34,2022-11
draft,GeneralFishingLicense,1,2022-11
draft,HealthInsurance,41,2022-11
draft,InstitutionCollaboration,14,2022-11
draft,LoginService,32,2022-11
draft,MortgageCertificate,3013,2022-11
draft,NoDebtCertificate,1142,2022-11
draft,OperatingLicense,10,2022-11
draft,ParentalLeave,20,2022-11
draft,PSign,269,2022-11
draft,PublicDebtPaymentPlan,144,2022-11
editOrAddEmployersAndPeriods,ParentalLeave,149,2022-11
employerApproval,ParentalLeave,1,2022-11
employerApproveEdits,ParentalLeave,3,2022-11
employerRequiresActionOnEdits,ParentalLeave,1,2022-11
employerWaitingToAssign,ParentalLeave,3,2022-11
employerWaitingToAssignForEdits,ParentalLeave,14,2022-11
inFinalReview,AccidentNotification,6,2022-11
inReview,ChildrenResidenceChange,10,2022-11
inReview,HealthInsurance,63,2022-11
muncipalityNotRegistered,FinancialAid,11,2022-11
payment,CriminalRecord,204,2022-11
payment,DrivingLicense,32,2022-11
payment,MortgageCertificate,17,2022-11
payment_info,MortgageCertificate,77,2022-11
pending_rejected_try_again,MortgageCertificate,28,2022-11
prerequisites,AnnouncementOfDeath,7,2022-11
prerequisites,DrivingAssessmentApproval,105,2022-11
prerequisites,DrivingLicense,1176,2022-11
prerequisites,FinancialAid,66,2022-11
prerequisites,FinancialStatementsInao,1,2022-11
prerequisites,GeneralFishingLicense,29,2022-11
prerequisites,HealthInsurance,379,2022-11
prerequisites,ParentalLeave,1057,2022-11
prerequisites,PublicDebtPaymentPlan,1304,2022-11
REGISTRY,DrivingInstructorRegistrations,217,2022-11
rejectedbyparentb,ChildrenResidenceChange,1,2022-11
residenceGrantApplication,ParentalLeave,29,2022-11
residenceGrantApplicationNoBirthDate,ParentalLeave,8,2022-11
review,AccidentNotification,21,2022-11
reviewAddAttachment,AccidentNotification,19,2022-11
spouse,FinancialAid,1,2022-11
submitted,ChildrenResidenceChange,9,2022-11
submitted,FinancialAid,44,2022-11
submitted,LoginService,3,2022-11
submitted,PublicDebtPaymentPlan,17,2022-11
vinnumalastofnunApproval,ParentalLeave,239,2022-11
vinnumalastofnunApproveEdits,ParentalLeave,136,2022-11
vinnumalastofnunRequiresAction,ParentalLeave,1,2022-11
approved,DrivingAssessmentApproval,256,2022-12
approved,GeneralPetitionService,3,2022-12
approved,InstitutionCollaboration,4,2022-12
approved,ParentalLeave,8,2022-12
completed,CriminalRecord,862,2022-12
completed,MortgageCertificate,61,2022-12
completed,NoDebtCertificate,124,2022-12
CONFIRM,DrivingSchoolConfirmation,46,2022-12
declined,DrivingLicense,1,2022-12
done,AnnouncementOfDeath,5,2022-12
done,DrivingLicense,296,2022-12
done,PSign,68,2022-12
DONE,DrivingSchoolConfirmation,193,2022-12
draft,AccidentNotification,52,2022-12
draft,ChildrenResidenceChange,13,2022-12
draft,CriminalRecord,604,2022-12
draft,DataProtectionAuthorityComplaint,1,2022-12
draft,DrivingLicense,23,2022-12
draft,FinancialAid,11,2022-12
draft,FinancialStatementsInao,1,2022-12
draft,GeneralPetitionService,3,2022-12
draft,HealthInsurance,71,2022-12
draft,InstitutionCollaboration,6,2022-12
draft,LoginService,24,2022-12
draft,MortgageCertificate,2561,2022-12
draft,NoDebtCertificate,760,2022-12
draft,ParentalLeave,7,2022-12
draft,Passport,1,2022-12
draft,PSign,134,2022-12
draft,PublicDebtPaymentPlan,36,2022-12
draft,TransferOfVehicleOwnership,19,2022-12
editOrAddEmployersAndPeriods,ParentalLeave,121,2022-12
employerApproval,ParentalLeave,1,2022-12
employerApproveEdits,ParentalLeave,2,2022-12
employerWaitingToAssign,ParentalLeave,2,2022-12
employerWaitingToAssignForEdits,ParentalLeave,7,2022-12
inFinalReview,AccidentNotification,11,2022-12
inReview,ChildrenResidenceChange,6,2022-12
inReview,HealthInsurance,28,2022-12
muncipalityNotRegistered,FinancialAid,19,2022-12
payment,CriminalRecord,125,2022-12
payment,DrivingLicense,34,2022-12
payment,GeneralFishingLicense,1,2022-12
payment,MortgageCertificate,13,2022-12
payment_info,MortgageCertificate,77,2022-12
pending_rejected,MortgageCertificate,1,2022-12
pending_rejected_try_again,MortgageCertificate,19,2022-12
prerequisites,AnnouncementOfDeath,55,2022-12
prerequisites,DrivingAssessmentApproval,73,2022-12
prerequisites,DrivingLicense,824,2022-12
prerequisites,FinancialAid,305,2022-12
prerequisites,GeneralFishingLicense,15,2022-12
prerequisites,HealthInsurance,237,2022-12
prerequisites,ParentalLeave,773,2022-12
prerequisites,PublicDebtPaymentPlan,721,2022-12
prerequisitesSpouse,FinancialAid,8,2022-12
REGISTRY,DrivingInstructorRegistrations,201,2022-12
rejectedbyparentb,ChildrenResidenceChange,1,2022-12
residenceGrantApplication,ParentalLeave,13,2022-12
residenceGrantApplicationNoBirthDate,ParentalLeave,8,2022-12
review,AccidentNotification,13,2022-12
reviewAddAttachment,AccidentNotification,22,2022-12
spouse,FinancialAid,2,2022-12
submitted,ChildrenResidenceChange,18,2022-12
submitted,FinancialAid,368,2022-12
submitted,GeneralFishingLicense,3,2022-12
submitted,LoginService,2,2022-12
submitted,PublicDebtPaymentPlan,40,2022-12
vinnumalastofnunApproval,ParentalLeave,178,2022-12
vinnumalastofnunApproveEdits,ParentalLeave,90,2022-12
approved,DrivingAssessmentApproval,330,2023-01
approved,GeneralPetitionService,1,2023-01
approved,InstitutionCollaboration,7,2023-01
approved,ParentalLeave,2,2023-01
completed,AnonymityInVehicleRegistry,2,2023-01
completed,ChangeOperatorOfVehicle,1,2023-01
completed,CriminalRecord,1171,2023-01
completed,MortgageCertificate,90,2023-01
completed,NoDebtCertificate,105,2023-01
completed,OrderVehicleRegistrationCertificate,1,2023-01
completed,TransferOfVehicleOwnership,2,2023-01
CONFIRM,DrivingSchoolConfirmation,26,2023-01
declined,DrivingLicense,6,2023-01
delegated,AnnouncementOfDeath,1,2023-01
done,AnnouncementOfDeath,12,2023-01
done,DrivingLicense,424,2023-01
done,MarriageConditions,3,2023-01
done,PSign,92,2023-01
DONE,DrivingSchoolConfirmation,297,2023-01
draft,AccidentNotification,62,2023-01
draft,AnnouncementOfDeath,3,2023-01
draft,AnonymityInVehicleRegistry,7,2023-01
draft,ChangeOperatorOfVehicle,5,2023-01
draft,ChildrenResidenceChange,23,2023-01
draft,CriminalRecord,954,2023-01
draft,DataProtectionAuthorityComplaint,7,2023-01
draft,DigitalTachographDriversCard,2,2023-01
draft,DrivingLicense,37,2023-01
draft,FinancialAid,34,2023-01
draft,GeneralFishingLicense,15,2023-01
draft,GeneralPetitionService,1,2023-01
draft,HealthInsurance,95,2023-01
draft,InstitutionCollaboration,16,2023-01
draft,LoginService,24,2023-01
draft,MarriageConditions,24,2023-01
draft,MortgageCertificate,4703,2023-01
draft,NoDebtCertificate,1147,2023-01
draft,OperatingLicense,14,2023-01
draft,OrderVehicleLicensePlate,4,2023-01
draft,OrderVehicleRegistrationCertificate,2,2023-01
draft,ParentalLeave,14,2023-01
draft,Passport,1,2023-01
draft,PSign,320,2023-01
draft,PublicDebtPaymentPlan,86,2023-01
draft,TransferOfVehicleOwnership,12,2023-01
editOrAddEmployersAndPeriods,ParentalLeave,158,2023-01
employerApproval,ParentalLeave,1,2023-01
employerApproveEdits,ParentalLeave,3,2023-01
employerRequiresActionOnEdits,ParentalLeave,1,2023-01
employerWaitingToAssign,ParentalLeave,3,2023-01
employerWaitingToAssignForEdits,ParentalLeave,12,2023-01
inFinalReview,AccidentNotification,11,2023-01
inReview,ChildrenResidenceChange,9,2023-01
inReview,DataProtectionAuthorityComplaint,1,2023-01
inReview,HealthInsurance,81,2023-01
muncipalityNotRegistered,FinancialAid,43,2023-01
payment,ChangeOperatorOfVehicle,2,2023-01
payment,CriminalRecord,202,2023-01
payment,DrivingLicense,45,2023-01
payment,GeneralFishingLicense,1,2023-01
payment,MarriageConditions,1,2023-01
payment,MortgageCertificate,14,2023-01
payment,OrderVehicleRegistrationCertificate,1,2023-01
payment,TransferOfVehicleOwnership,2,2023-01
payment_info,MortgageCertificate,163,2023-01
pending_rejected,MortgageCertificate,1,2023-01
pending_rejected_try_again,MortgageCertificate,29,2023-01
prerequisites,AnnouncementOfDeath,104,2023-01
prerequisites,DrivingAssessmentApproval,97,2023-01
prerequisites,DrivingLicense,1623,2023-01
prerequisites,FinancialAid,267,2023-01
prerequisites,GeneralFishingLicense,36,2023-01
prerequisites,HealthInsurance,514,2023-01
prerequisites,ParentalLeave,1126,2023-01
prerequisites,PublicDebtPaymentPlan,1443,2023-01
prerequisitesSpouse,FinancialAid,10,2023-01
REGISTRY,DrivingInstructorRegistrations,240,2023-01
rejectedbyparentb,ChildrenResidenceChange,2,2023-01
residenceGrantApplication,ParentalLeave,30,2023-01
residenceGrantApplicationNoBirthDate,ParentalLeave,15,2023-01
review,AccidentNotification,30,2023-01
reviewAddAttachment,AccidentNotification,24,2023-01
spouse,FinancialAid,1,2023-01
submitted,ChildrenResidenceChange,21,2023-01
submitted,FinancialAid,410,2023-01
submitted,GeneralFishingLicense,8,2023-01
submitted,LoginService,7,2023-01
submitted,PublicDebtPaymentPlan,79,2023-01
vinnumalastofnunApproval,ParentalLeave,311,2023-01
vinnumalastofnunApproveEdits,ParentalLeave,169,2023-01
approved,DrivingAssessmentApproval,324,2023-02
approved,InstitutionCollaboration,8,2023-02
approved,ParentalLeave,2,2023-02
completed,AnonymityInVehicleRegistry,45,2023-02
completed,ChangeOperatorOfVehicle,1,2023-02
completed,CriminalRecord,1106,2023-02
completed,DrivingLicenseBookUpdateInstructor,1,2023-02
completed,MortgageCertificate,103,2023-02
completed,NoDebtCertificate,167,2023-02
completed,OrderVehicleRegistrationCertificate,1,2023-02
CONFIRM,DrivingSchoolConfirmation,38,2023-02
declined,DrivingLicense,1,2023-02
delegated,AnnouncementOfDeath,2,2023-02
done,AnnouncementOfDeath,11,2023-02
done,DrivingLicense,444,2023-02
done,FinancialStatementsInao,3,2023-02
done,MarriageConditions,80,2023-02
done,PSign,106,2023-02
DONE,DrivingSchoolConfirmation,116,2023-02
draft,AccidentNotification,77,2023-02
draft,AnnouncementOfDeath,2,2023-02
draft,AnonymityInVehicleRegistry,215,2023-02
draft,ChangeCoOwnerOfVehicle,8,2023-02
draft,ChangeOperatorOfVehicle,1,2023-02
draft,ChildrenResidenceChange,35,2023-02
draft,CriminalRecord,1218,2023-02
draft,DigitalTachographDriversCard,1,2023-02
draft,DrivingLicense,38,2023-02
draft,DrivingLicenseBookUpdateInstructor,7,2023-02
draft,DrivingLicenseDuplicate,1,2023-02
draft,FinancialAid,22,2023-02
draft,FinancialStatementsInao,2,2023-02
draft,GeneralFishingLicense,15,2023-02
draft,HealthInsurance,95,2023-02
draft,InstitutionCollaboration,7,2023-02
draft,LoginService,37,2023-02
draft,MarriageConditions,317,2023-02
draft,MortgageCertificate,3083,2023-02
draft,NoDebtCertificate,944,2023-02
draft,OperatingLicense,4,2023-02
draft,OrderVehicleLicensePlate,12,2023-02
draft,OrderVehicleRegistrationCertificate,5,2023-02
draft,ParentalLeave,19,2023-02
draft,Passport,2,2023-02
draft,PSign,307,2023-02
draft,PublicDebtPaymentPlan,61,2023-02
draft,TransferOfVehicleOwnership,30,2023-02
editOrAddEmployersAndPeriods,ParentalLeave,120,2023-02
employerApproval,ParentalLeave,2,2023-02
employerApproveEdits,ParentalLeave,4,2023-02
employerWaitingToAssign,ParentalLeave,3,2023-02
employerWaitingToAssignForEdits,ParentalLeave,12,2023-02
inFinalReview,AccidentNotification,9,2023-02
inReview,ChildrenResidenceChange,5,2023-02
inReview,HealthInsurance,78,2023-02
muncipalityNotRegistered,FinancialAid,33,2023-02
otherParentApproval,ParentalLeave,1,2023-02
payment,ChangeOperatorOfVehicle,2,2023-02
payment,CriminalRecord,192,2023-02
payment,DrivingLicense,39,2023-02
payment,GeneralFishingLicense,3,2023-02
payment,MarriageConditions,2,2023-02
payment,MortgageCertificate,13,2023-02
payment_info,MortgageCertificate,125,2023-02
pending_rejected,MortgageCertificate,1,2023-02
pending_rejected_try_again,MortgageCertificate,31,2023-02
prerequisites,AnnouncementOfDeath,47,2023-02
prerequisites,DrivingAssessmentApproval,88,2023-02
prerequisites,DrivingLicense,1239,2023-02
prerequisites,ExampleForm,1,2023-02
prerequisites,FinancialAid,391,2023-02
prerequisites,GeneralFishingLicense,31,2023-02
prerequisites,HealthInsurance,343,2023-02
prerequisites,InheritanceReport,1,2023-02
prerequisites,ParentalLeave,912,2023-02
prerequisites,PublicDebtPaymentPlan,900,2023-02
prerequisitesSpouse,FinancialAid,15,2023-02
REGISTRY,DrivingInstructorRegistrations,471,2023-02
rejected,TransferOfVehicleOwnership,2,2023-02
rejectedbyparentb,ChildrenResidenceChange,1,2023-02
residenceGrantApplication,ParentalLeave,17,2023-02
residenceGrantApplicationNoBirthDate,ParentalLeave,13,2023-02
review,AccidentNotification,27,2023-02
review,ChangeCoOwnerOfVehicle,1,2023-02
review,ChangeOperatorOfVehicle,1,2023-02
reviewAddAttachment,AccidentNotification,32,2023-02
spouse,FinancialAid,2,2023-02
spouse_confirm,MarriageConditions,4,2023-02
submitted,ChildrenResidenceChange,15,2023-02
submitted,FinancialAid,472,2023-02
submitted,GeneralFishingLicense,4,2023-02
submitted,LoginService,7,2023-02
submitted,PublicDebtPaymentPlan,60,2023-02
vinnumalastofnunApproval,ParentalLeave,227,2023-02
vinnumalastofnunApproveEdits,ParentalLeave,127,2023-02
approved,DrivingAssessmentApproval,380,2023-03
approved,InstitutionCollaboration,15,2023-03
completed,AnonymityInVehicleRegistry,72,2023-03
completed,ChangeCoOwnerOfVehicle,1,2023-03
completed,CriminalRecord,1376,2023-03
completed,DigitalTachographDriversCard,1,2023-03
completed,DrivingLicenseBookUpdateInstructor,18,2023-03
completed,MortgageCertificate,113,2023-03
completed,NoDebtCertificate,475,2023-03
completed,OrderVehicleRegistrationCertificate,1,2023-03
CONFIRM,DrivingSchoolConfirmation,107,2023-03
declined,DrivingLicense,5,2023-03
done,AlcoholTaxRedemption,8,2023-03
done,AnnouncementOfDeath,15,2023-03
done,DrivingLicense,568,2023-03
done,FinancialStatementsInao,4,2023-03
done,MarriageConditions,124,2023-03
done,OperatingLicense,2,2023-03
done,PSign,107,2023-03
DONE,DrivingSchoolConfirmation,121,2023-03
draft,AccidentNotification,68,2023-03
draft,AlcoholTaxRedemption,1,2023-03
draft,AnnouncementOfDeath,2,2023-03
draft,AnonymityInVehicleRegistry,605,2023-03
draft,ChangeCoOwnerOfVehicle,10,2023-03
draft,ChangeOperatorOfVehicle,4,2023-03
draft,ChildrenResidenceChange,16,2023-03
draft,CriminalRecord,1284,2023-03
draft,DataProtectionAuthorityComplaint,6,2023-03
draft,DigitalTachographDriversCard,2,2023-03
draft,DocumentProviderOnboarding,1,2023-03
draft,DrivingLicense,42,2023-03
draft,DrivingLicenseBookUpdateInstructor,68,2023-03
draft,FinancialAid,33,2023-03
draft,FinancialStatementsInao,2,2023-03
draft,GeneralFishingLicense,49,2023-03
draft,HealthInsurance,113,2023-03
draft,InstitutionCollaboration,22,2023-03
draft,LoginService,20,2023-03
draft,MarriageConditions,206,2023-03
draft,MortgageCertificate,2822,2023-03
draft,NoDebtCertificate,1517,2023-03
draft,OperatingLicense,18,2023-03
draft,OrderVehicleLicensePlate,10,2023-03
draft,OrderVehicleRegistrationCertificate,6,2023-03
draft,ParentalLeave,29,2023-03
draft,PSign,289,2023-03
draft,PublicDebtPaymentPlan,67,2023-03
draft,TransferOfVehicleOwnership,16,2023-03
editOrAddEmployersAndPeriods,ParentalLeave,146,2023-03
employerApproval,ParentalLeave,2,2023-03
employerApproveEdits,ParentalLeave,5,2023-03
employerRequiresActionOnEdits,ParentalLeave,2,2023-03
employerWaitingToAssign,ParentalLeave,4,2023-03
employerWaitingToAssignForEdits,ParentalLeave,14,2023-03
inFinalReview,AccidentNotification,7,2023-03
inReview,ChildrenResidenceChange,7,2023-03
inReview,HealthInsurance,95,2023-03
muncipalityNotRegistered,FinancialAid,22,2023-03
payment,ChangeCoOwnerOfVehicle,1,2023-03
payment,ChangeOperatorOfVehicle,1,2023-03
payment,CriminalRecord,224,2023-03
payment,DrivingLicense,49,2023-03
payment,GeneralFishingLicense,14,2023-03
payment,MarriageConditions,4,2023-03
payment,MortgageCertificate,28,2023-03
payment,OperatingLicense,1,2023-03
payment,OrderVehicleLicensePlate,1,2023-03
payment_info,MortgageCertificate,125,2023-03
pending_rejected,MortgageCertificate,1,2023-03
pending_rejected_try_again,MortgageCertificate,24,2023-03
prerequisites,AlcoholTaxRedemption,11,2023-03
prerequisites,AnnouncementOfDeath,56,2023-03
prerequisites,DrivingAssessmentApproval,215,2023-03
prerequisites,DrivingLicense,1688,2023-03
prerequisites,FinancialAid,405,2023-03
prerequisites,GeneralFishingLicense,109,2023-03
prerequisites,HealthInsurance,367,2023-03
prerequisites,ParentalLeave,1207,2023-03
prerequisites,PublicDebtPaymentPlan,1476,2023-03
prerequisitesSpouse,FinancialAid,22,2023-03
REGISTRY,DrivingInstructorRegistrations,1109,2023-03
rejected,TransferOfVehicleOwnership,1,2023-03
rejectedbyparentb,ChildrenResidenceChange,3,2023-03
residenceGrantApplication,ParentalLeave,26,2023-03
residenceGrantApplicationNoBirthDate,ParentalLeave,22,2023-03
review,AccidentNotification,28,2023-03
review,ChangeCoOwnerOfVehicle,1,2023-03
review,TransferOfVehicleOwnership,3,2023-03
reviewAddAttachment,AccidentNotification,22,2023-03
spouse,FinancialAid,1,2023-03
spouse_confirm,MarriageConditions,8,2023-03
submitted,ChildrenResidenceChange,13,2023-03
submitted,FinancialAid,446,2023-03
submitted,GeneralFishingLicense,59,2023-03
submitted,LoginService,3,2023-03
submitted,PublicDebtPaymentPlan,46,2023-03
vinnumalastofnunApproval,ParentalLeave,312,2023-03
vinnumalastofnunApproveEdits,ParentalLeave,166,2023-03
approved,DrivingAssessmentApproval,329,2023-04
approved,InstitutionCollaboration,16,2023-04
completed,AnonymityInVehicleRegistry,41,2023-04
completed,ChangeCoOwnerOfVehicle,3,2023-04
completed,ChangeOperatorOfVehicle,3,2023-04
completed,CriminalRecord,1398,2023-04
completed,DrivingLicenseBookUpdateInstructor,37,2023-04
completed,MortgageCertificate,95,2023-04
completed,NoDebtCertificate,258,2023-04
completed,OrderVehicleLicensePlate,1,2023-04
completed,TransferOfVehicleOwnership,62,2023-04
CONFIRM,DrivingSchoolConfirmation,98,2023-04
declined,DrivingLicense,2,2023-04
delegated,AnnouncementOfDeath,2,2023-04
done,AnnouncementOfDeath,15,2023-04
done,DrivingLicense,567,2023-04
done,FinancialStatementsInao,3,2023-04
done,MarriageConditions,113,2023-04
done,OperatingLicense,40,2023-04
done,PSign,89,2023-04
DONE,DrivingSchoolConfirmation,144,2023-04
draft,AccidentNotification,35,2023-04
draft,AnonymityInVehicleRegistry,604,2023-04
draft,ChangeCoOwnerOfVehicle,57,2023-04
draft,ChangeOperatorOfVehicle,43,2023-04
draft,ChildrenResidenceChange,25,2023-04
draft,CriminalRecord,1243,2023-04
draft,DrivingLicense,36,2023-04
draft,DrivingLicenseBookUpdateInstructor,47,2023-04
draft,FinancialAid,14,2023-04
draft,FinancialStatementsInao,6,2023-04
draft,GeneralFishingLicense,415,2023-04
draft,HealthInsurance,83,2023-04
draft,InstitutionCollaboration,15,2023-04
draft,LoginService,13,2023-04
draft,MarriageConditions,186,2023-04
draft,MortgageCertificate,2173,2023-04
draft,NoDebtCertificate,1146,2023-04
draft,OperatingLicense,147,2023-04
draft,OrderVehicleLicensePlate,356,2023-04
draft,ParentalLeave,17,2023-04
draft,Passport,2,2023-04
draft,PSign,185,2023-04
draft,PublicDebtPaymentPlan,15,2023-04
draft,TransferOfVehicleOwnership,574,2023-04
editOrAddEmployersAndPeriods,ParentalLeave,113,2023-04
employerApproval,ParentalLeave,4,2023-04
employerApproveEdits,ParentalLeave,6,2023-04
employerWaitingToAssign,ParentalLeave,7,2023-04
employerWaitingToAssignForEdits,ParentalLeave,7,2023-04
inFinalReview,AccidentNotification,8,2023-04
inReview,ChildrenResidenceChange,5,2023-04
inReview,HealthInsurance,69,2023-04
muncipalityNotRegistered,FinancialAid,23,2023-04
payment,CriminalRecord,219,2023-04
payment,DrivingLicense,41,2023-04
payment,GeneralFishingLicense,93,2023-04
payment,MarriageConditions,4,2023-04
payment,MortgageCertificate,16,2023-04
payment,OperatingLicense,3,2023-04
payment,TransferOfVehicleOwnership,5,2023-04
payment_info,MortgageCertificate,124,2023-04
pending_rejected_try_again,MortgageCertificate,16,2023-04
